model_name,bandwidth_mbps,optimal_split_idx,loss_pct,total_packets,missing_packets,mode,sample_count,top1_acc,top5_acc,avg_ce_loss,edge_ms,server_ms,comm_ms,total_ms,activation_mb
vit_b_16,40.0,6,50.0,591,296,random,3,5.0,12.0,6.222646571397782,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,60.0,591,355,clean,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,60.0,591,355,oracle,1,68.0,77.0,2.927800415754318,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,60.0,591,355,random,3,1.6666666666666667,4.666666666666667,6.446027135054271,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
mobilenet_v2,40.0,17,0.0,31,0,clean,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,0.0,31,0,oracle,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,0.0,31,0,random,3,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,10.0,31,3,clean,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,10.0,31,3,oracle,1,94.0,100.0,0.2675561088335235,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,10.0,31,3,random,3,26.333333333333332,37.666666666666664,5.28891514792107,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,20.0,31,6,clean,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,20.0,31,6,oracle,1,91.0,100.0,0.4352196591318352,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,20.0,31,6,random,3,7.333333333333333,17.333333333333332,6.650703782786926,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,30.0,31,9,clean,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,30.0,31,9,oracle,1,88.0,97.0,0.7858650246856268,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,30.0,31,9,random,3,2.3333333333333335,5.333333333333333,7.397300082047781,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,40.0,31,12,clean,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,40.0,31,12,oracle,1,80.0,92.0,1.620799870332703,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,40.0,31,12,random,3,0.3333333333333333,1.6666666666666667,7.7625959698359175,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,50.0,31,16,clean,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,50.0,31,16,oracle,1,69.0,84.0,3.2208761733770372,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,50.0,31,16,random,3,0.3333333333333333,0.3333333333333333,7.836026759147644,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,60.0,31,19,clean,1,96.0,99.0,0.20776818205393283,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,60.0,31,19,oracle,1,42.0,64.0,4.512755008935929,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
mobilenet_v2,40.0,17,60.0,31,19,random,3,0.0,0.3333333333333333,7.7632551129659015,6.004536666599354,0.8291430000705683,0.7476806640625,7.581360330732423,0.0299072265625
